Move with Lil to the black mountain hills of Dakota,[COMPLETED],2
Lose Lil to Danny,[INCOMPLETE],62
Get hit in the eye by Danny,[INCOMPLETE], 64
Walk into town seeking revenge,[INCOMPLETE],699
Book room at local saloon, [INCOMPLETE],622
Check into room and read Gideon's bible,[INCOMPLETE],216
Overhear Lil and Danny in neighboring room,[INCOMPLETE],6
Burst into neighboring room and declare a showdown,[INCOMPLETE],16
Get shot by Danny and collapse in corner,[INCOMPLETE],86
Return to room and read Gideon's bible,[INCOMPLETE],68
Sing along! D'do d'do d'do do do d'do d'do d'do,[INCOMPLETE],36
